value
"tf.Tensor([6.3697495], shape=(1,), dtype=float32)"
"tf.Tensor([6.3474593], shape=(1,), dtype=float32)"
"tf.Tensor([5.2473993], shape=(1,), dtype=float32)"
"tf.Tensor([6.2522345], shape=(1,), dtype=float32)"
"tf.Tensor([7.6607265], shape=(1,), dtype=float32)"
"tf.Tensor([5.246855], shape=(1,), dtype=float32)"
"tf.Tensor([7.0910764], shape=(1,), dtype=float32)"
"tf.Tensor([5.407446], shape=(1,), dtype=float32)"
"tf.Tensor([4.513118], shape=(1,), dtype=float32)"
"tf.Tensor([5.4369164], shape=(1,), dtype=float32)"
"tf.Tensor([7.513744], shape=(1,), dtype=float32)"
"tf.Tensor([5.497995], shape=(1,), dtype=float32)"
"tf.Tensor([4.578816], shape=(1,), dtype=float32)"
"tf.Tensor([6.1052837], shape=(1,), dtype=float32)"
"tf.Tensor([4.7314143], shape=(1,), dtype=float32)"
"tf.Tensor([5.638356], shape=(1,), dtype=float32)"
"tf.Tensor([5.2046795], shape=(1,), dtype=float32)"
"tf.Tensor([5.498703], shape=(1,), dtype=float32)"
"tf.Tensor([4.2706943], shape=(1,), dtype=float32)"
"tf.Tensor([3.9889534], shape=(1,), dtype=float32)"
"tf.Tensor([7.49123], shape=(1,), dtype=float32)"
"tf.Tensor([4.400213], shape=(1,), dtype=float32)"
"tf.Tensor([5.2673182], shape=(1,), dtype=float32)"
"tf.Tensor([4.0607085], shape=(1,), dtype=float32)"
"tf.Tensor([3.5335028], shape=(1,), dtype=float32)"
"tf.Tensor([4.767248], shape=(1,), dtype=float32)"
"tf.Tensor([6.266157], shape=(1,), dtype=float32)"
"tf.Tensor([4.259722], shape=(1,), dtype=float32)"
"tf.Tensor([3.2269015], shape=(1,), dtype=float32)"
"tf.Tensor([5.527052], shape=(1,), dtype=float32)"
"tf.Tensor([4.096518], shape=(1,), dtype=float32)"
"tf.Tensor([3.1073701], shape=(1,), dtype=float32)"
"tf.Tensor([5.9454074], shape=(1,), dtype=float32)"
"tf.Tensor([3.77456], shape=(1,), dtype=float32)"
"tf.Tensor([4.7245445], shape=(1,), dtype=float32)"
"tf.Tensor([2.1851285], shape=(1,), dtype=float32)"
"tf.Tensor([4.3458548], shape=(1,), dtype=float32)"
"tf.Tensor([3.4478807], shape=(1,), dtype=float32)"
"tf.Tensor([1.6257585], shape=(1,), dtype=float32)"
"tf.Tensor([2.964558], shape=(1,), dtype=float32)"
"tf.Tensor([2.8669872], shape=(1,), dtype=float32)"
"tf.Tensor([2.396045], shape=(1,), dtype=float32)"
"tf.Tensor([4.204151], shape=(1,), dtype=float32)"
"tf.Tensor([2.8588743], shape=(1,), dtype=float32)"
"tf.Tensor([1.4497291], shape=(1,), dtype=float32)"
"tf.Tensor([1.7374755], shape=(1,), dtype=float32)"
"tf.Tensor([4.92222], shape=(1,), dtype=float32)"
"tf.Tensor([2.663005], shape=(1,), dtype=float32)"
"tf.Tensor([4.5250797], shape=(1,), dtype=float32)"
"tf.Tensor([2.6936476], shape=(1,), dtype=float32)"
"tf.Tensor([4.927204], shape=(1,), dtype=float32)"
"tf.Tensor([2.0666718], shape=(1,), dtype=float32)"
"tf.Tensor([3.3890994], shape=(1,), dtype=float32)"
"tf.Tensor([2.6678255], shape=(1,), dtype=float32)"
"tf.Tensor([1.4160889], shape=(1,), dtype=float32)"
"tf.Tensor([1.47421], shape=(1,), dtype=float32)"
"tf.Tensor([1.9180151], shape=(1,), dtype=float32)"
"tf.Tensor([1.9723408], shape=(1,), dtype=float32)"
"tf.Tensor([4.330622], shape=(1,), dtype=float32)"
"tf.Tensor([1.9828483], shape=(1,), dtype=float32)"
"tf.Tensor([4.6798196], shape=(1,), dtype=float32)"
"tf.Tensor([3.0238075], shape=(1,), dtype=float32)"
"tf.Tensor([1.7753898], shape=(1,), dtype=float32)"
"tf.Tensor([3.2112281], shape=(1,), dtype=float32)"
"tf.Tensor([1.7605883], shape=(1,), dtype=float32)"
"tf.Tensor([2.073818], shape=(1,), dtype=float32)"
"tf.Tensor([4.3230786], shape=(1,), dtype=float32)"
