value,real
5,8
5,9
5,5
5,8
5,5
5,6
5,9
5,9
5,5
5,9
5,4
5,8
5,4
5,4
5,7
5,4
5,8
5,8
5,4
5,4
5,7
5,8
5,4
5,7
5,4
5,7
5,4
5,6
5,3
5,4
5,6
5,3
5,6
5,7
5,3
5,3
5,6
5,6
5,3
5,6
5,3
5,3
5,6
5,2
5,5
5,2
5,6
5,5
5,3
5,5
5,2
5,2
5,5
5,4
5,2
5,2
5,5
5,2
5,5
5,2
5,5
5,2
5,5
5,5
5,2
5,6
5,2
5,2
5,4
5,2
5,6
5,5
5,2
5,5
5,2
5,2
5,7
5,3
5,6
5,3
5,6
5,3
5,6
5,7
5,2
5,6
5,3
5,2
5,7
5,8
5,3
5,8
5,3
5,6
5,3
5,7
5,3
5,7
5,3
5,3
5,6
5,4
5,7
5,3
5,7
5,4
5,9
5,5
5,9
5,9
5,4
5,5
5,10
5,5
5,10
5,5
5,9
5,7
5,10
5,6
5,10
5,11
5,6
5,8
5,11
5,9
5,13
5,11
5,15
5,11
5,14
5,11
5,15
5,13
5,17
5,16
5,14
5,15
5,13
5,13
5,16
5,16
5,15
5,17
5,17
5,19
5,19
5,22
5,20
5,25
5,21
5,24
5,22
5,28
5,22
5,30
5,25
5,30
5,24
5,32
5,25
5,25
5,34
5,25
5,36
5,27
5,40
5,28
5,42
5,46
5,29
5,47
5,29
5,51
5,29
5,31
5,55
5,58
5,32
5,34
5,59
5,34
5,61
5,35
5,65
5,68
5,35
5,38
5,71
5,40
5,76
5,76
5,38
5,79
5,40
5,80
5,44
5,85
5,46
5,83
5,44
5,43
5,78
5,79
5,45
5,41
5,75
5,73
5,43
5,73
5,42
5,67
5,43
5,44
5,71
5,70
5,45
5,71
5,44
5,74
5,47
5,47
5,72
5,47
5,79
5,76
5,46
5,75
5,45
5,79
5,48
5,48
5,75
5,74
5,50
5,75
5,47
5,76
5,48
5,76
5,48
5,75
5,49
5,48
5,78
5,79
5,50
5,50
5,83
5,51
5,81
5,49
5,81
5,50
5,81
5,50
5,77
5,51
5,80
5,80
5,52
5,51
5,78
5,50
5,80
5,83
5,51
5,83
5,52
5,84
5,52
5,52
5,82
5,84
5,53
5,81
5,51
5,52
5,81
5,83
5,50
5,82
5,52
5,52
5,80
5,80
5,51
5,81
5,53
5,55
5,83
5,81
5,52
5,83
5,52
5,85
5,55
5,54
5,82
5,53
5,85
5,82
5,54
5,53
5,81
5,81
5,54
5,54
5,80
5,54
5,83
5,52
5,76
5,54
5,81
5,80
5,56
5,58
5,83
5,80
5,57
5,85
5,58
5,60
5,85
5,90
5,61
5,88
5,60
5,94
5,60
5,59
5,91
5,60
5,92
5,61
5,93
5,63
5,95
5,63
5,96
5,97
5,62
5,100
5,64
5,65
5,100
5,67
5,99
5,100
5,67
5,65
5,99
5,68
5,96
5,67
5,99
5,65
5,98
5,100
5,68
5,69
5,101
5,98
5,70
5,69
5,105
5,102
5,71
5,72
5,105
5,69
5,102
5,102
5,74
5,72
5,104
5,104
5,73
5,74
5,108
5,74
5,106
5,105
5,75
5,108
5,77
5,81
5,110
5,81
5,109
5,79
5,112
5,109
5,82
5,111
5,82
5,82
5,110
5,112
5,79
5,82
5,110
5,111
5,80
5,79
5,109
5,110
5,80
5,78
5,108
5,78
5,112
5,114
5,80
5,78
5,112
5,81
5,114
5,109
5,79
5,75
5,104
5,108
5,78
5,75
5,107
5,71
5,104
5,96
5,72
5,70
5,98
5,92
5,67
5,97
5,70
5,78
5,108
5,101
5,71
5,66
5,94
5,64
5,90
5,59
5,84
5,81
5,57
5,75
5,55
5,73
5,54
5,51
5,70
5,49
5,64
5,46
5,62
5,46
5,61
5,47
5,59
5,54
5,44
5,41
5,53
5,41
5,50
5,51
5,41
5,50
5,41
5,40
5,49
5,40
5,48
5,39
5,46
5,37
5,45
5,43
5,38
5,45
5,38
5,39
5,44
5,37
5,44
5,40
5,34
5,40
5,34
5,33
5,38
5,34
5,39
5,40
5,34
5,37
5,33
5,31
5,35
5,30
5,33
5,29
5,29
5,33
5,31
5,34
5,31
5,30
5,32
5,29
5,28
5,27
5,28
5,26
5,22
5,20
5,22
5,23
5,20
5,22
5,22
5,22
5,20
5,18
5,21
5,20
5,16
5,22
5,18
5,20
5,17
5,16
5,19
5,14
5,18
5,19
5,14
5,17
5,13
5,19
5,15
5,17
5,13
5,15
5,13
5,14
5,11
5,10
5,15
5,10
5,15
5,9
5,13
5,8
5,13
5,13
5,9
5,8
5,11
5,7
5,10
5,7
5,9
5,6
5,10
5,7
5,10
5,5
5,9
5,6
5,10
