value,real
6.69934591055536,5
7.424792787028408,8
7.380826908322976,9
7.32147568329271,5
7.280598276144601,8
7.242406507513864,5
7.206158679680274,6
7.172105862492446,9
7.140199532260431,9
7.110372109109901,5
7.082562762076585,9
7.056711739614032,4
7.032759795710875,8
7.010648247078511,4
6.990318929184286,4
6.971714140654856,7
6.9547765908893115,4
6.939449349250306,8
6.9256757956951525,8
6.913399573038258,4
6.902564541004253,4
6.893114732223018,7
6.884994310316172,8
6.878147530222741,4
6.872518700908845,7
6.868052150603666,4
6.864692194700449,7
6.862383106457795,4
6.861069090632202,6
6.86069426016833,3
6.861202616068141,4
6.862538030554486,6
6.864644233638283,3
6.8674648031915595,6
6.8709431586209195,7
6.875022558228145,3
6.879646100335096,3
6.884756728241287,6
6.890297239071592,6
6.896210296561055,3
6.902438447812019,6
6.90892414404661,3
6.915609765364774,3
6.922437649504514,6
6.929350124587239,2
6.9362895458161615,5
6.943198336081138,2
6.950019030407526,6
6.95669432417105,5
6.963167124984424,3
6.9693806081451815,5
6.975278275517747,2
6.980804017705902,2
6.985902179355594,5
6.990517627411306,4
6.994595822132924,2
6.998082890664104,2
7.000925702927457,5
7.0030719496067135,2
7.004470221961497,5
7.005070093206326,2
7.004822201172515,5
7.0036783319593345,2
7.001591504269539,5
6.998516054114244,5
6.994407719563151,2
6.989223725208359,6
6.9829228660035225,2
6.9754655901354266,2
6.966814080581117,4
6.956932335002225,2
6.945786243627407,6
6.933343664775494,5
6.919574497674579,2
6.904450752237254,5
6.887946615458548,2
6.870038514111273,2
6.850705173423433,7
6.829927671433904,3
6.807689488736078,6
6.783976553333839,3
6.758777280351043,6
6.73208260635361,3
6.7038860180629785,6
6.6741835752604635,7
6.642973927704468,2
6.610258325905683,6
6.576040625629941,3
6.540327286023868,2
6.503127361284529,7
6.464452485821272,8
6.424316852885303,3
6.382737186670471,8
6.339732707916473,3
6.295325093074216,6
6.249538427120731,3
6.202399150138935,7
6.153935997805065,3
6.104179935953099,7
6.053164089411961,3
6.000923665336182,3
5.947495871275189,6
5.892919828249249,4
5.837236479122075,7
5.780488492580204,3
5.722720163048355,7
5.663977306886914,4
5.604307155233327,9
5.543758243862605,5
5.482380300454107,9
5.42022412966128,9
5.35734149638889,4
5.293785007688016,5
5.229607993682633,10
5.164864387943155,5
5.099608607721844,10
5.033895434462431,5
4.967779894991511,9
4.901317143793004,7
4.834562346758139,10
4.7675705667933475,6
4.70039665165609,10
4.633095124375046,11
4.565720076595469,6
4.49832506517392,8
4.43096301232813,11
4.363686109628462,9
4.296545726096896,13
4.229592320657865,11
4.162875359163135,15
4.096443236189859,11
4.030343201787358,14
3.964621293324554,11
3.899322272565601,15
3.83448956807727,13
3.7701652230474574,17
3.7063898485702182,16
3.6432025824292142,14
3.580641053388277,15
3.518741350975262,13
3.4575380007235808,13
3.397063944814703,16
3.3373505280448925,16
3.2784274890202907,15
3.220322956466539,17
3.163063450522206,17
3.106673888869759,19
3.0511775975435125,19
2.9965963262409026,22
2.9429502679519692,20
2.8902580827115463,25
2.838536925269934,21
2.787802476470353,24
2.7380689781154337,22
2.6893492711004097,28
2.6416548365873562,22
2.594995839992874,30
2.549381177560972,25
2.504818525293486,30
2.4613143900121455,24
2.4188741623293275,32
2.377502171308519,25
2.3372017406005074,25
2.297975245847243,34
2.2598241731520874,25
2.222749178422756,36
2.186750147401495,27
2.1518262562059385,40
2.1179760322134933,28
2.0851974151320274,42
2.053487818109838,46
2.0228441887485085,29
1.9932630698929859,47
1.964740660084191,29
1.9372728735704474,51
1.9108553997850626,29
1.8854837622083196,31
1.8611533765429766,55
1.8378596081429988,58
1.8155978286456904,32
1.7943634717674335,34
1.77415208823308,59
1.7549593998183721,34
1.7367813524937634,61
1.7196141686664739,35
1.7034543985256425,65
1.688298970502904,68
1.6741452408676876,35
1.6609910424828327,38
1.6488347327519715,71
1.637675240795272,40
1.627512113894675,76
1.6183455632537587,76
1.6101765091206341,38
1.6030066253249367,79
1.596838383282063,40
1.5916750955191485,80
1.5875209587780519,44
1.584381096750734,85
1.5822616025018736,46
1.581169580632425,83
1.5811131892360129,44
1.5821016816976645,43
1.5841454483813195,78
1.5872560582489634,79
1.5914463004498831,45
1.5967302259137943,41
1.6031231889760706,75
1.6106418890572696,73
1.6193044124125946,43
1.6291302739596938,73
1.6401404591854976,42
1.6523574661244873,67
1.6658053473920071,43
1.6805097522468537,44
1.6964979686475556,71
1.7137989652564432,70
1.7324434333347516,45
1.7524638284608074,71
1.773894411991659,44
1.7967712921764225,74
1.8211324648172045,47
1.8470178533606476,47
1.8744693482901802,72
1.9035308456755664,47
1.9342482847230018,79
1.9666696841551707,76
2.0008451772369544,46
2.0368270452486463,75
2.0746697491946695,45
2.114429959522091,79
2.1561665836096635,48
2.199940790774784,48
2.2458160345327944,75
2.293858071830437,74
2.3441349789632273,50
2.3967171638751212,75
2.4516773745279767,47
2.5090907030185505,76
2.569034585111699,48
2.6315887948505376,76
2.6968354338975806,48
2.764858915255329,75
2.8357459410107615,49
2.909585473745513,48
