value,real
9.446774,8.0
11.143429,9.0
8.522148,5.0
6.578072,8.0
10.643486,5.0
9.028896,6.0
9.4580765,9.0
11.545822,9.0
9.875282,5.0
10.214779,9.0
7.7392964,8.0
10.326447,3.999999999999993
9.0853615,3.999999999999993
12.72208,7.0
11.192207,3.999999999999993
6.9733586,8.0
7.0477796,8.0
14.435749,3.999999999999993
7.2218328,3.999999999999993
9.107956,7.0
13.472443,8.0
12.631069,3.999999999999993
9.164429,7.0
11.655571,3.999999999999993
12.473608,7.0
10.667873,6.0
13.240765,3.0
6.736176,3.999999999999993
6.8265424,6.0
16.484303,3.0
8.419014,6.0
14.825953,7.0
14.764982,3.0
12.86891,3.0
14.472673,6.0
12.899334,6.0
16.911087,3.0
10.790779,6.0
14.021162,3.0
7.6623006,3.0
10.723019,6.0
15.142988,2.0
7.684891,5.0
16.959862,2.0
7.063706,6.0
13.704124,5.0
18.898674,3.0
14.841606,5.0
9.960636,2.0
6.419949,2.0
9.412895,5.0
15.5088005,3.999999999999993
17.240318,2.0
8.74654,5.0
17.959751,2.0
6.9168935,5.0
15.618547,5.0
13.252956,2.0
13.151258,5.0
19.057192,5.0
14.4601345,2.0
7.560658,6.0
18.618216,2.0
15.65974,3.999999999999993
22.876987,2.0
23.792934,6.0
21.02128,5.0
23.723946,2.0
10.1357155,5.0
18.337755,2.0
11.570076,2.0
9.198307,7.0
19.362036,3.0
20.616661,6.0
18.618216,3.0
15.226612,6.0
19.776623,3.0
12.891489,6.0
19.47178,7.0
19.166933,2.0
12.665607,6.0
19.618107,3.0
12.563963,2.0
7.8768926,7.0
21.231827,8.0
19.893372,3.0
16.622246,8.0
26.2233,3.0
13.580437,6.0
21.1055,3.0
11.570076,7.0
35.50983,3.0
13.1173725,7.0
22.57504,3.0
18.739763,3.0
11.773373,6.0
33.822002,3.999999999999993
14.520781,7.0
45.20649,3.0
14.699465,7.0
39.068237,3.999999999999993
13.320667,9.0
19.691269,5.0
10.124428,9.0
19.459585,9.0
28.488338,3.999999999999993
17.344126,5.0
18.402885,10.0
33.487045,5.0
20.56853,10.0
23.178936,5.0
12.72208,9.0
26.770037,7.0
10.903717,10.0
19.752237,6.0
8.656193,10.0
19.166933,11.0
28.097815,6.0
11.242546,8.0
13.01573,11.0
32.784103,9.0
14.404907,13.0
19.776623,11.0
14.043491,15.0
18.593826,11.0
13.885378,14.0
20.894953,11.0
15.56349,15.0
18.679186,13.0
14.889736,17.0
18.923063,16.0
18.032915,14.0
13.546555,15.0
17.167156,13.0
14.438789,13.0
13.738558,16.0
19.093773,16.0
18.837704,15.0
13.987024,17.0
19.076645,17.0
19.057192,19.0
25.092325,19.0
18.362146,22.0
15.178486,20.0
15.752678,25.0
16.862871,21.0
21.574389,24.0
21.19416,22.0
18.24021,28.0
22.108551,22.0
20.642294,30.0
23.119183,25.0
25.20794,30.0
28.922995,24.0
22.801498,32.0
26.487963,25.0
29.347492,25.0
29.425596,34.0
33.02293,25.0
20.070953,36.0
30.024776,27.0
26.691929,40.0
35.441948,28.0
24.348787,42.0
33.553726,46.0
38.145435,29.0
25.988987,47.0
36.152576,29.0
30.12854,51.0
39.130123,29.0
23.880157,31.0
29.81612,55.0
38.670605,58.0
42.761173,32.0
21.464115,34.0
24.114471,59.0
40.67281,34.0
33.56515,61.0
43.921703,35.0
31.534428,65.0
43.95001,68.0
44.11984,35.0
27.551083,38.0
36.577354,71.0
46.950394,40.0
51.789543,76.0
49.639416,76.0
48.026,38.0
50.722023,79.0
55.593296,40.0
63.79858,80.0
58.478092,44.0
62.838615,85.0
55.54391,46.0
65.742325,83.0
55.363342,44.0
70.217445,43.0
69.4659,78.0
54.835526,79.0
55.641144,45.0
69.87583,41.0
68.372734,75.0
53.892757,73.0
52.722088,43.0
69.56838,73.0
54.29367,42.0
73.76024,67.0
54.181416,43.0
68.74851,44.0
70.28577,71.0
55.502243,70.0
55.79393,45.0
75.67127,71.0
56.182846,44.0
72.54077,74.0
57.044025,47.0
74.22207,47.0
72.88919,72.0
56.807896,47.0
74.51191,79.0
56.710663,76.0
57.64129,46.0
72.32301,75.0
56.196743,45.0
71.53907,79.0
58.447247,48.0
78.90093,48.0
74.63612,75.0
57.86353,74.0
61.059887,50.0
80.89761,75.0
60.972095,47.0
80.96194,76.0
58.05799,48.0
79.19077,76.0
56.97457,48.0
72.41011,75.0
57.002354,49.0
74.51191,48.0
76.168144,78.0
58.60718,79.0
58.805405,50.0
78.40406,50.0
82.75167,83.0
59.728798,51.0
80.84701,81.0
60.012226,49.0
72.582985,81.0
60.17427,50.0
71.38222,81.0
61.962128,50.0
64.05902,77.0
55.628845,51.0
67.66228,80.0
57.213913,80.0
56.510113,52.0
65.23249,51.0
67.27097,78.0
58.042587,50.0
68.77365,80.0
59.05113,83.0
59.188656,51.0
63.265404,83.0
59.005283,52.0
68.525215,84.0
58.409325,52.0
65.38158,52.0
69.51895,82.0
58.523933,84.0
59.257416,53.0
66.04164,81.0
57.79045,51.0
63.885387,52.0
65.8984,81.0
57.037968,83.0
59.417866,50.0
70.63691,82.0
56.474922,52.0
65.679756,52.0
64.31946,80.0
58.11135,80.0
57.213913,51.0
64.05902,81.0
62.168423,53.0
72.790016,55.0
73.86657,83.0
59.01387,81.0
56.946796,52.0
74.63612,83.0
58.25532,52.0
79.19077,85.0
63.91044,55.0
70.92675,54.0
73.324715,82.0
57.335716,53.0
73.67314,85.0
58.07188,82.0
56.51621,54.0
70.0808,53.0
70.25161,81.0
57.9052,81.0
56.210632,54.0
68.16777,54.0
55.43691,80.0
54.05312,54.0
67.72367,83.0
55.224445,52.0
62.73613,76.0
54.085194,54.0
64.88829,81.0
55.182774,80.0
55.93283,56.0
66.118095,58.0
63.385193,83.0
55.363342,80.0
55.78004,57.0
66.66467,85.0
58.002434,58.0
69.29509,60.0
76.45905,85.0
60.39593,90.0
64.02731,61.0
78.871315,88.0
64.43116,60.0
80.83328,94.0
65.36467,60.0
84.478676,59.0
86.34297,91.0
65.961586,60.0
88.17476,92.0
64.0071,61.0
90.859764,93.0
65.88539,63.0
92.75458,95.0
66.57707,63.0
95.784904,96.0
73.20103,97.0
71.880516,62.0
95.32508,100.0
73.19249,64.0
95.85931,65.0
97.92882,100.0
73.52133,67.0
96.54905,99.0
75.03248,100.0
75.6385,67.0
92.96132,65.0
92.87087,99.0
75.423454,68.0
94.807884,96.0
75.53488,67.0
92.44891,99.0
78.46909,65.0
91.39849,98.0
79.87828,100.0
80.65884,68.0
93.43351,69.0
93.63906,101.0
81.1351,98.0
