value,real
"tf.Tensor([8.503762], shape=(1,), dtype=float32)",9
"tf.Tensor([6.442409], shape=(1,), dtype=float32)",4
"tf.Tensor([7.1175814], shape=(1,), dtype=float32)",8
"tf.Tensor([5.697214], shape=(1,), dtype=float32)",4
"tf.Tensor([7.0561256], shape=(1,), dtype=float32)",4
"tf.Tensor([8.441297], shape=(1,), dtype=float32)",7
"tf.Tensor([7.130149], shape=(1,), dtype=float32)",4
"tf.Tensor([8.855792], shape=(1,), dtype=float32)",8
"tf.Tensor([5.2068877], shape=(1,), dtype=float32)",8
"tf.Tensor([4.2220964], shape=(1,), dtype=float32)",4
"tf.Tensor([6.0059524], shape=(1,), dtype=float32)",4
"tf.Tensor([8.826498], shape=(1,), dtype=float32)",7
"tf.Tensor([4.724205], shape=(1,), dtype=float32)",8
"tf.Tensor([4.1658316], shape=(1,), dtype=float32)",4
"tf.Tensor([6.2030883], shape=(1,), dtype=float32)",7
"tf.Tensor([3.7979238], shape=(1,), dtype=float32)",4
"tf.Tensor([7.849369], shape=(1,), dtype=float32)",7
"tf.Tensor([5.5766373], shape=(1,), dtype=float32)",4
"tf.Tensor([6.4085], shape=(1,), dtype=float32)",6
"tf.Tensor([4.492604], shape=(1,), dtype=float32)",3
"tf.Tensor([8.003276], shape=(1,), dtype=float32)",4
"tf.Tensor([9.136057], shape=(1,), dtype=float32)",6
"tf.Tensor([3.4870129], shape=(1,), dtype=float32)",3
"tf.Tensor([5.289161], shape=(1,), dtype=float32)",6
"tf.Tensor([2.824693], shape=(1,), dtype=float32)",7
"tf.Tensor([1.886012], shape=(1,), dtype=float32)",3
"tf.Tensor([3.5819452], shape=(1,), dtype=float32)",3
"tf.Tensor([6.089272], shape=(1,), dtype=float32)",6
"tf.Tensor([3.973417], shape=(1,), dtype=float32)",6
"tf.Tensor([4.2364497], shape=(1,), dtype=float32)",3
"tf.Tensor([8.718786], shape=(1,), dtype=float32)",6
"tf.Tensor([5.9337206], shape=(1,), dtype=float32)",3
"tf.Tensor([12.189325], shape=(1,), dtype=float32)",3
"tf.Tensor([13.67942], shape=(1,), dtype=float32)",6
"tf.Tensor([6.160563], shape=(1,), dtype=float32)",2
"tf.Tensor([7.776798], shape=(1,), dtype=float32)",5
"tf.Tensor([4.587901], shape=(1,), dtype=float32)",2
"tf.Tensor([5.8455987], shape=(1,), dtype=float32)",6
"tf.Tensor([2.8694074], shape=(1,), dtype=float32)",5
"tf.Tensor([2.279123], shape=(1,), dtype=float32)",3
"tf.Tensor([4.220988], shape=(1,), dtype=float32)",5
"tf.Tensor([3.9882758], shape=(1,), dtype=float32)",2
"tf.Tensor([6.4333014], shape=(1,), dtype=float32)",2
"tf.Tensor([7.4037967], shape=(1,), dtype=float32)",5
"tf.Tensor([4.6045184], shape=(1,), dtype=float32)",4
"tf.Tensor([3.2983167], shape=(1,), dtype=float32)",2
"tf.Tensor([8.180475], shape=(1,), dtype=float32)",2
"tf.Tensor([9.188099], shape=(1,), dtype=float32)",5
"tf.Tensor([3.795985], shape=(1,), dtype=float32)",2
"tf.Tensor([4.155078], shape=(1,), dtype=float32)",5
"tf.Tensor([1.933833], shape=(1,), dtype=float32)",2
"tf.Tensor([3.3698764], shape=(1,), dtype=float32)",5
"tf.Tensor([2.6369872], shape=(1,), dtype=float32)",2
"tf.Tensor([3.7850246], shape=(1,), dtype=float32)",5
"tf.Tensor([1.5170199], shape=(1,), dtype=float32)",5
"tf.Tensor([1.8673261], shape=(1,), dtype=float32)",2
"tf.Tensor([4.337604], shape=(1,), dtype=float32)",6
"tf.Tensor([2.5341551], shape=(1,), dtype=float32)",2
"tf.Tensor([4.751664], shape=(1,), dtype=float32)",2
"tf.Tensor([5.597304], shape=(1,), dtype=float32)",4
"tf.Tensor([4.441245], shape=(1,), dtype=float32)",2
"tf.Tensor([5.2490234], shape=(1,), dtype=float32)",6
"tf.Tensor([3.8316557], shape=(1,), dtype=float32)",5
"tf.Tensor([3.711137], shape=(1,), dtype=float32)",2
"tf.Tensor([5.5078783], shape=(1,), dtype=float32)",5
"tf.Tensor([4.217604], shape=(1,), dtype=float32)",2
"tf.Tensor([6.4916005], shape=(1,), dtype=float32)",2
"tf.Tensor([10.713112], shape=(1,), dtype=float32)",7
"tf.Tensor([5.672174], shape=(1,), dtype=float32)",3
"tf.Tensor([6.264621], shape=(1,), dtype=float32)",6
"tf.Tensor([4.1956983], shape=(1,), dtype=float32)",3
"tf.Tensor([6.1119742], shape=(1,), dtype=float32)",6
"tf.Tensor([3.860237], shape=(1,), dtype=float32)",3
"tf.Tensor([6.9573073], shape=(1,), dtype=float32)",6
"tf.Tensor([4.725899], shape=(1,), dtype=float32)",7
"tf.Tensor([4.8546453], shape=(1,), dtype=float32)",2
"tf.Tensor([9.796353], shape=(1,), dtype=float32)",6
"tf.Tensor([7.6742916], shape=(1,), dtype=float32)",3
"tf.Tensor([8.416979], shape=(1,), dtype=float32)",2
"tf.Tensor([10.076465], shape=(1,), dtype=float32)",7
"tf.Tensor([5.1156244], shape=(1,), dtype=float32)",8
"tf.Tensor([3.655813], shape=(1,), dtype=float32)",3
"tf.Tensor([6.8363853], shape=(1,), dtype=float32)",8
"tf.Tensor([4.9293294], shape=(1,), dtype=float32)",3
"tf.Tensor([6.0533814], shape=(1,), dtype=float32)",6
"tf.Tensor([4.2345986], shape=(1,), dtype=float32)",3
"tf.Tensor([6.0286946], shape=(1,), dtype=float32)",7
"tf.Tensor([3.8750184], shape=(1,), dtype=float32)",3
