value,real
"tf.Tensor([10.074461], shape=(1,), dtype=float32)",4
"tf.Tensor([10.647902], shape=(1,), dtype=float32)",7
"tf.Tensor([8.690874], shape=(1,), dtype=float32)",4
"tf.Tensor([8.653785], shape=(1,), dtype=float32)",8
"tf.Tensor([13.009766], shape=(1,), dtype=float32)",8
"tf.Tensor([7.200558], shape=(1,), dtype=float32)",4
"tf.Tensor([8.675478], shape=(1,), dtype=float32)",4
"tf.Tensor([9.948453], shape=(1,), dtype=float32)",7
"tf.Tensor([2.9691563], shape=(1,), dtype=float32)",8
"tf.Tensor([12.159121], shape=(1,), dtype=float32)",4
"tf.Tensor([12.410763], shape=(1,), dtype=float32)",7
"tf.Tensor([2.4785228], shape=(1,), dtype=float32)",4
"tf.Tensor([8.3735895], shape=(1,), dtype=float32)",7
"tf.Tensor([5.9181523], shape=(1,), dtype=float32)",4
"tf.Tensor([9.975785], shape=(1,), dtype=float32)",6
"tf.Tensor([13.26235], shape=(1,), dtype=float32)",3
"tf.Tensor([9.351056], shape=(1,), dtype=float32)",4
"tf.Tensor([11.329699], shape=(1,), dtype=float32)",6
"tf.Tensor([5.077612], shape=(1,), dtype=float32)",3
"tf.Tensor([9.178255], shape=(1,), dtype=float32)",6
"tf.Tensor([7.2014565], shape=(1,), dtype=float32)",7
"tf.Tensor([2.6627707], shape=(1,), dtype=float32)",3
"tf.Tensor([9.095301], shape=(1,), dtype=float32)",3
"tf.Tensor([7.124651], shape=(1,), dtype=float32)",6
"tf.Tensor([2.6032472], shape=(1,), dtype=float32)",6
"tf.Tensor([5.427652], shape=(1,), dtype=float32)",3
"tf.Tensor([12.569641], shape=(1,), dtype=float32)",6
"tf.Tensor([3.3714032], shape=(1,), dtype=float32)",3
"tf.Tensor([10.191076], shape=(1,), dtype=float32)",3
"tf.Tensor([14.409891], shape=(1,), dtype=float32)",6
"tf.Tensor([3.8985658], shape=(1,), dtype=float32)",2
"tf.Tensor([8.132057], shape=(1,), dtype=float32)",5
"tf.Tensor([5.2696414], shape=(1,), dtype=float32)",2
"tf.Tensor([8.442706], shape=(1,), dtype=float32)",6
"tf.Tensor([8.021122], shape=(1,), dtype=float32)",5
"tf.Tensor([4.544836], shape=(1,), dtype=float32)",3
"tf.Tensor([8.584864], shape=(1,), dtype=float32)",5
"tf.Tensor([7.468416], shape=(1,), dtype=float32)",2
"tf.Tensor([7.3607993], shape=(1,), dtype=float32)",2
"tf.Tensor([6.657532], shape=(1,), dtype=float32)",5
"tf.Tensor([7.697388], shape=(1,), dtype=float32)",4
"tf.Tensor([4.336458], shape=(1,), dtype=float32)",2
"tf.Tensor([10.859004], shape=(1,), dtype=float32)",2
"tf.Tensor([9.396226], shape=(1,), dtype=float32)",5
"tf.Tensor([1.3559252], shape=(1,), dtype=float32)",2
"tf.Tensor([4.7464943], shape=(1,), dtype=float32)",5
"tf.Tensor([1.1388699], shape=(1,), dtype=float32)",2
"tf.Tensor([6.297176], shape=(1,), dtype=float32)",5
"tf.Tensor([-2.0222778], shape=(1,), dtype=float32)",2
"tf.Tensor([8.907486], shape=(1,), dtype=float32)",5
"tf.Tensor([7.0498962], shape=(1,), dtype=float32)",5
"tf.Tensor([2.9753036], shape=(1,), dtype=float32)",2
"tf.Tensor([6.183166], shape=(1,), dtype=float32)",6
"tf.Tensor([0.41888863], shape=(1,), dtype=float32)",2
"tf.Tensor([9.243329], shape=(1,), dtype=float32)",2
"tf.Tensor([6.71254], shape=(1,), dtype=float32)",4
"tf.Tensor([3.590856], shape=(1,), dtype=float32)",2
"tf.Tensor([3.942131], shape=(1,), dtype=float32)",6
"tf.Tensor([4.1782427], shape=(1,), dtype=float32)",5
"tf.Tensor([1.020454], shape=(1,), dtype=float32)",2
"tf.Tensor([5.6398907], shape=(1,), dtype=float32)",5
"tf.Tensor([0.76297385], shape=(1,), dtype=float32)",2
"tf.Tensor([4.0422254], shape=(1,), dtype=float32)",2
"tf.Tensor([9.157017], shape=(1,), dtype=float32)",7
"tf.Tensor([4.1890173], shape=(1,), dtype=float32)",3
"tf.Tensor([8.391478], shape=(1,), dtype=float32)",6
"tf.Tensor([6.2076473], shape=(1,), dtype=float32)",3
"tf.Tensor([0.75240046], shape=(1,), dtype=float32)",6
"tf.Tensor([5.545084], shape=(1,), dtype=float32)",3
"tf.Tensor([10.131313], shape=(1,), dtype=float32)",6
"tf.Tensor([6.3680444], shape=(1,), dtype=float32)",7
"tf.Tensor([6.6065435], shape=(1,), dtype=float32)",2
"tf.Tensor([15.848341], shape=(1,), dtype=float32)",6
"tf.Tensor([16.66325], shape=(1,), dtype=float32)",3
"tf.Tensor([17.982513], shape=(1,), dtype=float32)",2
"tf.Tensor([14.020827], shape=(1,), dtype=float32)",7
"tf.Tensor([5.155586], shape=(1,), dtype=float32)",8
"tf.Tensor([6.382366], shape=(1,), dtype=float32)",3
"tf.Tensor([13.763818], shape=(1,), dtype=float32)",8
"tf.Tensor([5.949687], shape=(1,), dtype=float32)",3
"tf.Tensor([10.763884], shape=(1,), dtype=float32)",6
