value
"tf.Tensor([9.949407], shape=(1,), dtype=float32)"
"tf.Tensor([7.84593], shape=(1,), dtype=float32)"
"tf.Tensor([8.929707], shape=(1,), dtype=float32)"
"tf.Tensor([7.7520247], shape=(1,), dtype=float32)"
"tf.Tensor([8.620639], shape=(1,), dtype=float32)"
"tf.Tensor([9.023153], shape=(1,), dtype=float32)"
"tf.Tensor([8.329411], shape=(1,), dtype=float32)"
"tf.Tensor([8.18322], shape=(1,), dtype=float32)"
"tf.Tensor([7.795638], shape=(1,), dtype=float32)"
"tf.Tensor([6.974537], shape=(1,), dtype=float32)"
"tf.Tensor([7.7571163], shape=(1,), dtype=float32)"
"tf.Tensor([5.5917277], shape=(1,), dtype=float32)"
"tf.Tensor([7.302162], shape=(1,), dtype=float32)"
"tf.Tensor([7.367749], shape=(1,), dtype=float32)"
"tf.Tensor([5.971038], shape=(1,), dtype=float32)"
"tf.Tensor([8.143809], shape=(1,), dtype=float32)"
"tf.Tensor([8.001738], shape=(1,), dtype=float32)"
"tf.Tensor([6.6577735], shape=(1,), dtype=float32)"
"tf.Tensor([6.243755], shape=(1,), dtype=float32)"
"tf.Tensor([7.042155], shape=(1,), dtype=float32)"
"tf.Tensor([6.3472967], shape=(1,), dtype=float32)"
"tf.Tensor([2.4676878], shape=(1,), dtype=float32)"
"tf.Tensor([5.6405535], shape=(1,), dtype=float32)"
"tf.Tensor([2.5796983], shape=(1,), dtype=float32)"
"tf.Tensor([3.7604415], shape=(1,), dtype=float32)"
"tf.Tensor([4.9145722], shape=(1,), dtype=float32)"
"tf.Tensor([6.5186186], shape=(1,), dtype=float32)"
"tf.Tensor([5.6931086], shape=(1,), dtype=float32)"
"tf.Tensor([5.9813895], shape=(1,), dtype=float32)"
"tf.Tensor([10.223026], shape=(1,), dtype=float32)"
"tf.Tensor([9.3784], shape=(1,), dtype=float32)"
"tf.Tensor([12.302338], shape=(1,), dtype=float32)"
"tf.Tensor([10.008499], shape=(1,), dtype=float32)"
"tf.Tensor([8.2247505], shape=(1,), dtype=float32)"
"tf.Tensor([6.8962297], shape=(1,), dtype=float32)"
"tf.Tensor([2.5195148], shape=(1,), dtype=float32)"
"tf.Tensor([4.4914207], shape=(1,), dtype=float32)"
"tf.Tensor([3.147706], shape=(1,), dtype=float32)"
"tf.Tensor([2.5650842], shape=(1,), dtype=float32)"
"tf.Tensor([5.1848526], shape=(1,), dtype=float32)"
