value
"tf.Tensor([10.364605], shape=(1,), dtype=float32)"
"tf.Tensor([9.781716], shape=(1,), dtype=float32)"
"tf.Tensor([7.839397], shape=(1,), dtype=float32)"
"tf.Tensor([10.097408], shape=(1,), dtype=float32)"
"tf.Tensor([7.0113964], shape=(1,), dtype=float32)"
"tf.Tensor([9.554411], shape=(1,), dtype=float32)"
"tf.Tensor([12.622467], shape=(1,), dtype=float32)"
"tf.Tensor([6.6943583], shape=(1,), dtype=float32)"
"tf.Tensor([7.294237], shape=(1,), dtype=float32)"
"tf.Tensor([10.189893], shape=(1,), dtype=float32)"
"tf.Tensor([10.249171], shape=(1,), dtype=float32)"
"tf.Tensor([8.05412], shape=(1,), dtype=float32)"
"tf.Tensor([5.2373543], shape=(1,), dtype=float32)"
"tf.Tensor([7.969956], shape=(1,), dtype=float32)"
"tf.Tensor([6.9258394], shape=(1,), dtype=float32)"
"tf.Tensor([5.9271274], shape=(1,), dtype=float32)"
"tf.Tensor([5.5144935], shape=(1,), dtype=float32)"
"tf.Tensor([9.132058], shape=(1,), dtype=float32)"
"tf.Tensor([7.816932], shape=(1,), dtype=float32)"
"tf.Tensor([8.0687], shape=(1,), dtype=float32)"
"tf.Tensor([8.379646], shape=(1,), dtype=float32)"
"tf.Tensor([6.736537], shape=(1,), dtype=float32)"
"tf.Tensor([7.1756983], shape=(1,), dtype=float32)"
"tf.Tensor([6.266106], shape=(1,), dtype=float32)"
"tf.Tensor([3.867574], shape=(1,), dtype=float32)"
"tf.Tensor([7.683742], shape=(1,), dtype=float32)"
"tf.Tensor([2.90909], shape=(1,), dtype=float32)"
"tf.Tensor([5.4295745], shape=(1,), dtype=float32)"
"tf.Tensor([7.54246], shape=(1,), dtype=float32)"
"tf.Tensor([11.228365], shape=(1,), dtype=float32)"
"tf.Tensor([8.821637], shape=(1,), dtype=float32)"
"tf.Tensor([9.437282], shape=(1,), dtype=float32)"
"tf.Tensor([9.967619], shape=(1,), dtype=float32)"
"tf.Tensor([6.1428876], shape=(1,), dtype=float32)"
"tf.Tensor([7.924158], shape=(1,), dtype=float32)"
"tf.Tensor([6.5605297], shape=(1,), dtype=float32)"
"tf.Tensor([7.193229], shape=(1,), dtype=float32)"
"tf.Tensor([5.859097], shape=(1,), dtype=float32)"
"tf.Tensor([4.0606136], shape=(1,), dtype=float32)"
"tf.Tensor([7.946553], shape=(1,), dtype=float32)"
"tf.Tensor([3.328496], shape=(1,), dtype=float32)"
"tf.Tensor([7.3836007], shape=(1,), dtype=float32)"
"tf.Tensor([7.3704786], shape=(1,), dtype=float32)"
"tf.Tensor([6.853321], shape=(1,), dtype=float32)"
"tf.Tensor([5.863402], shape=(1,), dtype=float32)"
"tf.Tensor([6.9887104], shape=(1,), dtype=float32)"
"tf.Tensor([7.5483527], shape=(1,), dtype=float32)"
"tf.Tensor([5.3482447], shape=(1,), dtype=float32)"
"tf.Tensor([6.845939], shape=(1,), dtype=float32)"
"tf.Tensor([5.777137], shape=(1,), dtype=float32)"
"tf.Tensor([6.4317665], shape=(1,), dtype=float32)"
"tf.Tensor([5.732768], shape=(1,), dtype=float32)"
"tf.Tensor([7.048691], shape=(1,), dtype=float32)"
"tf.Tensor([4.899484], shape=(1,), dtype=float32)"
"tf.Tensor([3.2848675], shape=(1,), dtype=float32)"
"tf.Tensor([6.92914], shape=(1,), dtype=float32)"
"tf.Tensor([5.2587156], shape=(1,), dtype=float32)"
"tf.Tensor([7.0402927], shape=(1,), dtype=float32)"
"tf.Tensor([6.9698954], shape=(1,), dtype=float32)"
"tf.Tensor([5.1423063], shape=(1,), dtype=float32)"
"tf.Tensor([6.535189], shape=(1,), dtype=float32)"
"tf.Tensor([5.024152], shape=(1,), dtype=float32)"
"tf.Tensor([3.46421], shape=(1,), dtype=float32)"
"tf.Tensor([8.420306], shape=(1,), dtype=float32)"
"tf.Tensor([6.641636], shape=(1,), dtype=float32)"
"tf.Tensor([8.016192], shape=(1,), dtype=float32)"
"tf.Tensor([7.6337667], shape=(1,), dtype=float32)"
"tf.Tensor([4.1363645], shape=(1,), dtype=float32)"
"tf.Tensor([4.5644145], shape=(1,), dtype=float32)"
"tf.Tensor([5.710183], shape=(1,), dtype=float32)"
"tf.Tensor([7.0046177], shape=(1,), dtype=float32)"
"tf.Tensor([5.0474367], shape=(1,), dtype=float32)"
