value,real
[5.075679],[13.]
[15.295073],[17.]
[5.722794],[3.]
[17.785643],[8.]
[4.88504],[5.]
[5.6116734],[9.]
[6.509852],[3.]
[15.070959],[5.]
[16.048742],[14.]
[17.011612],[16.]
[11.1588955],[3.]
[14.592929],[8.]
[10.830866],[5.]
[7.738263],[8.]
[10.98003],[2.]
[3.2688472],[5.]
[11.569712],[3.]
[12.85415],[6.]
[10.478639],[13.]
[17.42986],[15.]
[5.1998425],[6.]
[9.648268],[9.]
[6.2237988],[2.]
[10.229956],[5.]
[10.916768],[13.]
[15.989035],[16.]
[11.113123],[5.]
[10.721992],[9.]
[7.6352916],[3.]
[14.408668],[7.]
[11.81205],[2.]
[5.044038],[4.]
[4.891413],[4.]
[-0.42297643],[9.]
[7.1454005],[3.]
[15.691806],[7.]
[10.114627],[15.]
[18.49441],[16.]
[1.440217],[2.]
[7.4791007],[5.]
[3.8519],[4.]
[6.887618],[8.]
[12.129272],[3.]
[11.71026],[6.]
[12.184795],[17.]
[17.525734],[17.]
[7.7520075],[2.]
[5.6081605],[5.]
[5.307206],[4.]
[10.72386],[7.]
[13.673627],[4.]
[17.619759],[7.]
[12.13133],[19.]
[20.0189],[19.]
[10.838391],[2.]
[2.3016696],[5.]
[7.801597],[4.]
[1.846408],[8.]
[13.504258],[3.]
[16.74574],[7.]
[11.815476],[22.]
[18.846632],[20.]
[4.1620092],[2.]
[12.09725],[5.]
[7.19478],[4.]
[6.569401],[8.]
[11.092865],[4.]
[11.792369],[9.]
[15.089464],[25.]
[16.334726],[21.]
[11.372992],[2.]
[5.6176867],[5.]
[6.395312],[4.]
[6.388716],[7.]
[11.406657],[5.]
[9.5054035],[9.]
[9.434177],[24.]
[17.372927],[22.]
[7.9975486],[2.]
[6.483738],[6.]
[4.013722],[4.]
[5.741385],[8.]
[9.511924],[4.]
[15.654415],[9.]
[11.151055],[28.]
[19.09257],[22.]
[8.09421],[2.]
[15.044256],[4.]
[9.363364],[4.]
[11.084051],[7.]
[15.829608],[5.]
[18.258102],[10.]
[22.241428],[30.]
[20.112894],[25.]
[18.53461],[2.]
[18.427917],[6.]
[18.273127],[4.]
[1.2655702],[7.]
[11.898177],[5.]
[15.977495],[10.]
[22.970589],[30.]
[22.578815],[24.]
[16.105482],[2.]
[9.686222],[5.]
[9.740694],[3.]
[1.593741],[6.]
[11.710138],[5.]
[9.647138],[9.]
[16.18533],[2.]
[10.220844],[5.]
[6.941242],[4.]
[4.313513],[6.]
[4.2087097],[32.]
[16.447124],[25.]
[11.9359865],[7.]
[11.337906],[10.]
[6.28125],[2.]
[5.362633],[7.]
[8.448723],[3.]
[4.4267654],[6.]
[9.824251],[34.]
[19.221436],[25.]
[14.610544],[6.]
[9.768022],[10.]
[4.054901],[3.]
[13.828614],[6.]
[12.797357],[3.]
[13.065387],[7.]
[14.046692],[36.]
[22.135658],[25.]
[20.127476],[3.]
[17.595268],[6.]
[14.818693],[6.]
[13.778497],[11.]
[18.034122],[3.]
[15.381064],[6.]
[18.50603],[40.]
[22.963882],[27.]
[21.689602],[3.]
[10.385183],[6.]
[13.540876],[8.]
[11.186602],[11.]
[17.98924],[3.]
[11.016089],[6.]
[16.716625],[42.]
[20.757109],[28.]
[20.126108],[3.]
[5.6510186],[6.]
[9.738431],[9.]
[13.120675],[13.]
[18.347305],[2.]
[13.064172],[7.]
[13.693752],[3.]
[8.918668],[6.]
[11.289234],[46.]
[22.727844],[29.]
[17.047142],[3.]
[14.974076],[6.]
[12.515314],[11.]
[13.112664],[15.]
[16.697456],[55.]
[24.1401],[31.]
[24.556602],[80.]
[40.120167],[50.]
[35.236626],[74.]
[41.18953],[47.]
[40.709396],[47.]
[25.386093],[29.]
[34.017403],[11.]
[17.396893],[14.]
[58.83736],[58.]
[30.420118],[32.]
[73.39031],[83.]
[43.588486],[51.]
[63.977173],[72.]
[44.969135],[47.]
[51.02751],[51.]
[28.3097],[29.]
[36.49132],[59.]
[32.102764],[34.]
[70.23335],[83.]
[43.52536],[54.]
[90.5444],[96.]
[65.591415],[68.]
[94.486885],[83.]
[48.744617],[52.]
[71.28028],[79.]
[47.745457],[47.]
[95.30058],[94.]
[61.01602],[66.]
[99.72115],[110.]
[81.3476],[82.]
[75.87236],[61.]
[36.252083],[34.]
[77.16794],[76.]
[43.28753],[52.]
[88.43787],[99.]
[65.124344],[67.]
[75.85454],[84.]
[50.751038],[52.]
[77.67396],[76.]
[51.947163],[46.]
[97.064026],[112.]
[81.041245],[79.]
[75.580505],[65.]
[36.05502],[35.]
[85.48998],[90.]
[57.410126],[64.]
[83.885345],[82.]
[51.74466],[52.]
[95.91347],[98.]
[67.43517],[65.]
[88.386795],[81.]
[48.692123],[54.]
[90.01805],[75.]
[49.440193],[45.]
[98.86348],[68.]
[40.680073],[35.]
[104.776474],[84.]
[50.64265],[53.]
[119.29024],[110.]
[77.04426],[82.]
[92.89176],[79.]
[49.42126],[48.]
[87.46182],[80.]
[47.383232],[56.]
[69.58805],[84.]
[56.731632],[59.]
[83.06339],[100.]
[70.14833],[68.]
[76.75365],[71.]
[43.20458],[38.]
[93.1995],[81.]
[48.98152],[51.]
[104.96449],[75.]
[51.45789],[48.]
[104.303986],[83.]
[48.381218],[58.]
[114.27104],[111.]
[77.153336],[80.]
[85.075745],[81.]
[50.884575],[57.]
[80.52985],[76.]
[43.579277],[40.]
[95.99725],[101.]
[69.37528],[69.]
[78.76663],[74.]
[53.50933],[50.]
[80.69704],[81.]
[48.814774],[52.]
[103.779205],[80.]
[48.40356],[57.]
[102.7238],[109.]
[79.93439],[79.]
[76.01578],[76.]
[40.61966],[38.]
[90.53496],[75.]
[50.457485],[47.]
[90.683624],[75.]
[48.953747],[55.]
[93.18816],[98.]
[71.02632],[70.]
[92.590935],[83.]
[50.93181],[50.]
[98.38478],[85.]
[50.99531],[58.]
[99.945755],[110.]
[82.871155],[80.]
[74.44184],[79.]
[45.62937],[40.]
[88.721985],[76.]
[49.278774],[48.]
[96.01178],[73.]
[47.287228],[54.]
[92.77135],[82.]
[49.07569],[52.]
[105.620834],[105.]
[68.395294],[69.]
[90.82574],[85.]
[50.45799],[60.]
[92.88985],[108.]
[78.41124],[78.]
[77.771286],[80.]
[47.196625],[44.]
[78.745895],[76.]
[46.083515],[48.]
[84.94814],[80.]
[46.642155],[52.]
[101.181816],[70.]
[46.639782],[51.]
[107.177086],[102.]
[73.51802],[71.]
[92.269646],[90.]
[55.368046],[61.]
[92.53055],[112.]
[75.76046],[78.]
[75.94575],[85.]
[46.540062],[46.]
[78.06341],[75.]
[46.972076],[49.]
[82.67813],[80.]
[46.361847],[51.]
[98.5915],[64.]
[46.03527],[49.]
[106.95608],[105.]
[71.74682],[72.]
[92.13985],[88.]
[56.215866],[60.]
[92.67566],[114.]
[79.24914],[80.]
[78.68593],[78.]
[51.69567],[48.]
[81.190636],[83.]
[45.23916],[44.]
[80.005165],[81.]
[49.980835],[53.]
[96.04027],[62.]
[43.320335],[46.]
[99.02764],[94.]
[58.21454],[60.]
[107.15007],[102.]
[72.69839],[69.]
[91.89137],[112.]
[76.94332],[78.]
[78.90475],[79.]
[49.365547],[50.]
[82.66873],[78.]
[43.584255],[43.]
[82.90225],[83.]
[48.012196],[55.]
[80.254974],[91.]
[56.902817],[59.]
[103.18338],[61.]
[45.894833],[46.]
[100.54941],[102.]
[72.64332],[74.]
[85.828445],[83.]
[51.983284],[50.]
[94.94794],[79.]
[46.428288],[45.]
[96.34142],[114.]
[76.09331],[81.]
[76.89386],[81.]
[50.629887],[52.]
[85.42566],[92.]
[55.923447],[60.]
[93.580505],[81.]
[53.710945],[51.]
[93.90014],[59.]
[43.825825],[47.]
[85.60834],[75.]
[47.741463],[41.]
[108.523735],[104.]
[71.092865],[72.]
[91.40879],[109.]
[75.82452],[79.]
[87.952835],[83.]
[50.74854],[52.]
[85.938446],[93.]
[58.24354],[61.]
[82.57311],[81.]
[48.8544],[49.]
[86.76066],[73.]
[42.517452],[43.]
[91.10582],[104.]
[71.801506],[73.]
[86.122116],[54.]
[40.03588],[44.]
[86.09103],[85.]
[54.354733],[55.]
[103.48867],[104.]
[74.69078],[75.]
[87.52016],[95.]
[62.174107],[63.]
[92.180565],[81.]
[52.707706],[50.]
[96.474075],[108.]
[76.42104],[74.]
[74.0164],[53.]
[36.46915],[41.]
[68.78126],[73.]
[44.817524],[42.]
[94.660736],[82.]
[49.14615],[54.]
[105.421326],[108.]
[75.83492],[78.]
[98.56623],[96.]
[65.2394],[63.]
[94.6102],[106.]
[77.69659],[74.]
[78.70068],[77.]
[44.50162],[50.]
[79.6116],[50.]
[33.123848],[41.]
[73.20877],[67.]
[44.690327],[43.]
[91.60443],[107.]
[71.52153],[75.]
[98.99741],[85.]
[53.55866],[53.]
[88.89571],[97.]
[65.3557],[62.]
[89.10721],[80.]
[49.13646],[51.]
[95.531364],[105.]
[71.49434],[75.]
[67.153465],[51.]
[32.38527],[41.]
[79.10596],[71.]
[46.13475],[44.]
[95.57943],[82.]
[48.88586],[54.]
[108.2372],[104.]
[72.270004],[71.]
[102.77622],[100.]
[68.5513],[64.]
[88.38836],[80.]
[48.284103],[52.]
[95.28579],[81.]
[50.71273],[53.]
[89.90237],[108.]
[78.257095],[77.]
[69.52066],[70.]
[46.157677],[45.]
[92.253784],[96.]
[69.003426],[72.]
[79.26059],[50.]
[34.054585],[41.]
[77.03692],[100.]
[62.187733],[65.]
[85.96307],[81.]
[49.923424],[54.]
[99.07347],[78.]
[50.321396],[51.]
[110.268326],[110.]
[77.36696],[81.]
[80.9211],[71.]
[45.703148],[44.]
[89.36933],[99.]
[62.921387],[67.]
[88.916664],[98.]
[71.147415],[70.]
[80.28149],[49.]
[38.231247],[40.]
[81.43437],[80.]
[47.105827],[54.]
[93.16807],[44.]
[38.047585],[39.]
[85.56752],[16.]
[25.573858],[20.]
[111.81079],[109.]
[83.12661],[81.]
[133.05602],[100.]
[70.00266],[67.]
[95.54808],[92.]
[66.710106],[67.]
[46.64267],[48.]
[41.046432],[40.]
[43.948734],[44.]
[36.357952],[37.]
[20.572756],[18.]
[22.36688],[22.]
[105.50323],[112.]
[80.803055],[79.]
[108.60235],[99.]
[73.38613],[65.]
[65.02949],[97.]
[68.45586],[70.]
[37.42135],[40.]
[35.403614],[34.]
[42.979393],[46.]
[37.68934],[39.]
[17.345163],[17.]
[21.546024],[20.]
[106.66751],[109.]
[80.33853],[82.]
[112.931465],[108.]
[80.06357],[78.]
[51.708202],[40.]
[35.768673],[34.]
[27.852608],[45.]
[39.847748],[37.]
[26.498158],[38.]
[30.944273],[33.]
[19.943108],[16.]
[19.76478],[19.]
[91.42637],[101.]
[64.403206],[71.]
[77.857506],[111.]
[98.49851],[82.]
[118.41423],[43.]
[39.562973],[38.]
[30.413824],[39.]
[32.47638],[34.]
[5.381501],[14.]
[20.12533],[18.]
[45.069214],[40.]
[26.268982],[34.]
[46.651047],[45.]
[39.095825],[38.]
[36.219643],[37.]
[26.855856],[33.]
[19.852932],[14.]
[13.778803],[19.]
[21.674871],[35.]
[24.514479],[31.]
[34.94906],[33.]
[27.890984],[30.]
[25.77709],[13.]
[13.535187],[17.]
[14.232774],[29.]
[20.385456],[29.]
[21.828375],[15.]
[16.56028],[19.]
[15.7049885],[33.]
[21.288784],[31.]
[18.230467],[34.]
[22.246363],[31.]
[16.679071],[13.]
[9.221053],[17.]
[12.668365],[32.]
[21.021273],[30.]
[21.164389],[29.]
[22.412668],[28.]
[15.486591],[13.]
[10.107422],[15.]
[10.498535],[28.]
[16.590477],[27.]
[16.708206],[11.]
[14.287025],[14.]
[12.20095],[22.]
[16.521326],[26.]
[12.314151],[20.]
[18.225657],[22.]
[12.18401],[10.]
[11.9078865],[15.]
[11.01117],[20.]
[15.69084],[23.]
[13.850187],[10.]
[13.949668],[15.]
[10.870539],[22.]
[13.200846],[22.]
[10.614325],[9.]
[13.928335],[13.]
[10.100228],[20.]
[14.436632],[22.]
[10.09227],[18.]
[17.686863],[21.]
[10.310175],[8.]
[9.800402],[13.]
[7.3055162],[9.]
[12.008442],[13.]
[11.1339855],[8.]
[11.013253],[11.]
[6.4529266],[7.]
[7.114127],[10.]
[4.775624],[7.]
[9.971616],[9.]
[5.6136003],[6.]
[11.674295],[10.]
[3.1866431],[7.]
[10.24868],[10.]
[2.495701],[5.]
[10.705188],[9.]
[4.9696193],[6.]
