value,real
5.493152,8.0
6.3842273,9.0
-2.8296094,5.0
-3.655396,8.0
4.5939555,5.0
4.1604953,6.0
5.5291667,9.0
7.809673,9.0
1.8530688,5.0
7.9423594,9.0
-5.406121,4.0
-5.3122106,8.0
3.463554,4.0
4.3405833,4.0
15.710806,7.0
6.5570064,4.0
-2.3947759,8.0
-7.6820493,8.0
19.44799,4.0
-1.6023717,4.0
4.412601,7.0
15.576614,8.0
12.061417,4.0
4.5927005,7.0
8.223396,4.0
15.003155,7.0
4.680904,4.0
-6.536835,6.0
14.610048,3.0
-3.1511464,4.0
-2.8630147,6.0
27.154392,3.0
2.2155147,6.0
20.88142,7.0
20.657444,3.0
16.128965,3.0
20.696539,6.0
13.185631,6.0
28.784193,3.0
9.779282,6.0
17.86584,3.0
-0.19768947,3.0
9.563171,6.0
22.04608,2.0
-0.12565273,5.0
28.970451,2.0
-2.106629,6.0
16.543177,5.0
36.021362,3.0
21.179026,5.0
2.1580424,2.0
-4.1596417,2.0
5.385093,5.0
23.429155,4.0
30.041462,2.0
-9.053085,2.0
3.2600398,5.0
32.790237,2.0
-2.5748754,5.0
23.848238,2.0
-9.1590805,5.0
14.660913,2.0
16.933107,5.0
36.566887,5.0
19.537582,2.0
-0.5218472,6.0
35.056225,2.0
-5.1681523,2.0
21.725855,4.0
42.61084,2.0
27.099586,6.0
40.974148,5.0
43.149883,2.0
7.6902385,5.0
34.091084,2.0
12.264507,2.0
4.700763,7.0
37.615948,3.0
25.004215,6.0
35.056225,3.0
21.43635,6.0
39.042686,3.0
16.193298,6.0
37.993618,7.0
36.944546,2.0
15.54998,6.0
38.497166,3.0
15.260479,2.0
0.48665196,7.0
41.227875,8.0
39.502567,3.0
22.369165,8.0
44.71796,3.0
18.15542,6.0
41.075645,3.0
12.264507,7.0
50.40227,3.0
16.83661,7.0
42.41484,3.0
23.76749,3.0
12.935993,6.0
49.471233,4.0
20.8252,7.0
55.355705,3.0
21.050367,7.0
52.301155,4.0
17.415604,9.0
38.748943,5.0
7.654224,9.0
37.951645,9.0
46.139046,4.0
22.847878,5.0
23.54551,10.0
49.275223,5.0
24.9725,10.0
42.806858,5.0
15.710806,9.0
45.06098,7.0
10.139454,10.0
38.958763,6.0
2.9718928,10.0
36.944546,11.0
45.894028,6.0
11.219997,8.0
16.547121,11.0
48.834194,9.0
20.503532,13.0
39.042686,11.0
19.474234,15.0
34.972298,11.0
19.0239,14.0
40.821915,11.0
21.661518,15.0
35.266037,13.0
21.211191,17.0
36.105286,16.0
33.04201,14.0
18.058926,15.0
29.762068,13.0
20.60004,13.0
18.605745,16.0
36.69277,16.0
35.811546,15.0
19.313398,17.0
23.989466,17.0
36.566887,19.0
27.93181,19.0
34.17501,22.0
21.404192,20.0
24.360462,25.0
22.529997,21.0
41.58179,24.0
25.384748,22.0
33.755386,28.0
25.987257,22.0
40.51746,30.0
26.654463,25.0
44.080933,30.0
30.301,24.0
42.561844,32.0
28.790642,25.0
46.67807,25.0
46.72708,34.0
32.99596,25.0
39.80703,36.0
31.011759,27.0
45.011982,40.0
35.119537,28.0
43.541904,42.0
33.410564,46.0
37.42799,29.0
44.570957,47.0
35.747387,29.0
47.168102,51.0
38.292065,29.0
43.247883,31.0
46.972088,55.0
37.888832,58.0
41.57555,32.0
41.481594,34.0
43.39489,59.0
39.645786,34.0
49.324223,61.0
42.756466,35.0
48.050148,65.0
42.785263,68.0
42.95808,35.0
45.55101,38.0
50.981712,71.0
45.795715,40.0
58.55496,76.0
48.506573,76.0
46.877388,38.0
58.016453,79.0
53.94089,40.0
64.579094,80.0
56.664413,44.0
50.316704,85.0
52.55415,46.0
54.504333,83.0
52.203228,44.0
60.05027,43.0
59.331367,78.0
51.178825,79.0
52.743107,45.0
59.628124,41.0
58.29782,75.0
49.48376,73.0
47.51965,43.0
59.40556,73.0
50.156406,42.0
63.997173,67.0
49.968063,43.0
58.81204,44.0
60.139977,71.0
52.473164,70.0
53.04004,45.0
66.06033,71.0
53.795868,44.0
62.741337,74.0
55.469494,47.0
64.49054,47.0
63.100143,72.0
55.0106,47.0
64.8045,79.0
54.821644,76.0
56.63024,46.0
62.517086,75.0
53.822865,45.0
61.709763,79.0
58.141903,48.0
69.558716,48.0
64.93905,75.0
57.062145,74.0
56.319458,50.0
63.43973,75.0
56.189445,47.0
63.500095,76.0
57.440056,48.0
69.87268,76.0
55.334526,48.0
62.606785,75.0
55.388515,49.0
64.8045,48.0
