value
"tf.Tensor([8.00384], shape=(1,), dtype=float32)"
"tf.Tensor([6.1496058], shape=(1,), dtype=float32)"
"tf.Tensor([6.841085], shape=(1,), dtype=float32)"
"tf.Tensor([5.2438254], shape=(1,), dtype=float32)"
"tf.Tensor([7.471468], shape=(1,), dtype=float32)"
"tf.Tensor([7.256828], shape=(1,), dtype=float32)"
"tf.Tensor([6.071726], shape=(1,), dtype=float32)"
"tf.Tensor([9.953081], shape=(1,), dtype=float32)"
"tf.Tensor([5.9067774], shape=(1,), dtype=float32)"
"tf.Tensor([4.6046023], shape=(1,), dtype=float32)"
"tf.Tensor([7.0721483], shape=(1,), dtype=float32)"
"tf.Tensor([5.197517], shape=(1,), dtype=float32)"
"tf.Tensor([4.563636], shape=(1,), dtype=float32)"
"tf.Tensor([4.565504], shape=(1,), dtype=float32)"
"tf.Tensor([4.987437], shape=(1,), dtype=float32)"
"tf.Tensor([4.399402], shape=(1,), dtype=float32)"
"tf.Tensor([5.0674167], shape=(1,), dtype=float32)"
"tf.Tensor([5.1087203], shape=(1,), dtype=float32)"
"tf.Tensor([5.9662013], shape=(1,), dtype=float32)"
"tf.Tensor([4.8136463], shape=(1,), dtype=float32)"
"tf.Tensor([5.5721993], shape=(1,), dtype=float32)"
"tf.Tensor([6.265162], shape=(1,), dtype=float32)"
"tf.Tensor([4.492143], shape=(1,), dtype=float32)"
"tf.Tensor([5.950448], shape=(1,), dtype=float32)"
"tf.Tensor([4.3675456], shape=(1,), dtype=float32)"
"tf.Tensor([4.4580464], shape=(1,), dtype=float32)"
"tf.Tensor([6.2920117], shape=(1,), dtype=float32)"
"tf.Tensor([4.8282623], shape=(1,), dtype=float32)"
"tf.Tensor([4.878022], shape=(1,), dtype=float32)"
"tf.Tensor([4.8802037], shape=(1,), dtype=float32)"
"tf.Tensor([7.2009444], shape=(1,), dtype=float32)"
"tf.Tensor([5.1457214], shape=(1,), dtype=float32)"
"tf.Tensor([6.69248], shape=(1,), dtype=float32)"
"tf.Tensor([5.615272], shape=(1,), dtype=float32)"
"tf.Tensor([4.6834936], shape=(1,), dtype=float32)"
"tf.Tensor([5.6141076], shape=(1,), dtype=float32)"
"tf.Tensor([4.166332], shape=(1,), dtype=float32)"
"tf.Tensor([4.7362485], shape=(1,), dtype=float32)"
"tf.Tensor([4.103752], shape=(1,), dtype=float32)"
"tf.Tensor([4.515152], shape=(1,), dtype=float32)"
"tf.Tensor([6.0736065], shape=(1,), dtype=float32)"
"tf.Tensor([4.60665], shape=(1,), dtype=float32)"
"tf.Tensor([3.634407], shape=(1,), dtype=float32)"
"tf.Tensor([4.533033], shape=(1,), dtype=float32)"
"tf.Tensor([4.1431994], shape=(1,), dtype=float32)"
"tf.Tensor([4.9281497], shape=(1,), dtype=float32)"
"tf.Tensor([6.2602835], shape=(1,), dtype=float32)"
"tf.Tensor([3.7308655], shape=(1,), dtype=float32)"
"tf.Tensor([3.4116917], shape=(1,), dtype=float32)"
"tf.Tensor([2.4580545], shape=(1,), dtype=float32)"
"tf.Tensor([3.084299], shape=(1,), dtype=float32)"
"tf.Tensor([2.3300529], shape=(1,), dtype=float32)"
"tf.Tensor([2.2893205], shape=(1,), dtype=float32)"
"tf.Tensor([3.5941677], shape=(1,), dtype=float32)"
"tf.Tensor([3.7194781], shape=(1,), dtype=float32)"
"tf.Tensor([4.8026605], shape=(1,), dtype=float32)"
"tf.Tensor([4.80146], shape=(1,), dtype=float32)"
"tf.Tensor([3.4588408], shape=(1,), dtype=float32)"
"tf.Tensor([2.247561], shape=(1,), dtype=float32)"
"tf.Tensor([3.2675757], shape=(1,), dtype=float32)"
"tf.Tensor([3.5437894], shape=(1,), dtype=float32)"
"tf.Tensor([4.746326], shape=(1,), dtype=float32)"
"tf.Tensor([4.8199368], shape=(1,), dtype=float32)"
"tf.Tensor([7.334391], shape=(1,), dtype=float32)"
"tf.Tensor([9.256251], shape=(1,), dtype=float32)"
"tf.Tensor([4.328786], shape=(1,), dtype=float32)"
"tf.Tensor([4.122157], shape=(1,), dtype=float32)"
"tf.Tensor([4.3852725], shape=(1,), dtype=float32)"
"tf.Tensor([4.361752], shape=(1,), dtype=float32)"
"tf.Tensor([5.103749], shape=(1,), dtype=float32)"
"tf.Tensor([5.125944], shape=(1,), dtype=float32)"
"tf.Tensor([6.3232374], shape=(1,), dtype=float32)"
"tf.Tensor([5.327792], shape=(1,), dtype=float32)"
"tf.Tensor([8.347793], shape=(1,), dtype=float32)"
"tf.Tensor([5.3217974], shape=(1,), dtype=float32)"
"tf.Tensor([7.411165], shape=(1,), dtype=float32)"
"tf.Tensor([11.038667], shape=(1,), dtype=float32)"
"tf.Tensor([7.076867], shape=(1,), dtype=float32)"
"tf.Tensor([5.3965635], shape=(1,), dtype=float32)"
"tf.Tensor([4.817439], shape=(1,), dtype=float32)"
"tf.Tensor([4.266689], shape=(1,), dtype=float32)"
"tf.Tensor([5.297839], shape=(1,), dtype=float32)"
"tf.Tensor([8.159706], shape=(1,), dtype=float32)"
"tf.Tensor([5.3472595], shape=(1,), dtype=float32)"
"tf.Tensor([7.1518617], shape=(1,), dtype=float32)"
"tf.Tensor([5.18246], shape=(1,), dtype=float32)"
"tf.Tensor([4.7192307], shape=(1,), dtype=float32)"
"tf.Tensor([4.4107237], shape=(1,), dtype=float32)"
"tf.Tensor([5.289907], shape=(1,), dtype=float32)"
"tf.Tensor([4.8179064], shape=(1,), dtype=float32)"
"tf.Tensor([6.031588], shape=(1,), dtype=float32)"
"tf.Tensor([4.5609403], shape=(1,), dtype=float32)"
"tf.Tensor([4.6561365], shape=(1,), dtype=float32)"
"tf.Tensor([5.458966], shape=(1,), dtype=float32)"
"tf.Tensor([5.0493383], shape=(1,), dtype=float32)"
"tf.Tensor([7.441308], shape=(1,), dtype=float32)"
"tf.Tensor([5.6183596], shape=(1,), dtype=float32)"
"tf.Tensor([8.034325], shape=(1,), dtype=float32)"
"tf.Tensor([4.7987123], shape=(1,), dtype=float32)"
"tf.Tensor([4.0796323], shape=(1,), dtype=float32)"
"tf.Tensor([3.8803644], shape=(1,), dtype=float32)"
"tf.Tensor([5.551232], shape=(1,), dtype=float32)"
"tf.Tensor([6.286585], shape=(1,), dtype=float32)"
"tf.Tensor([5.374263], shape=(1,), dtype=float32)"
"tf.Tensor([5.048899], shape=(1,), dtype=float32)"
"tf.Tensor([6.5244336], shape=(1,), dtype=float32)"
"tf.Tensor([5.5747943], shape=(1,), dtype=float32)"
"tf.Tensor([7.5636888], shape=(1,), dtype=float32)"
"tf.Tensor([6.53494], shape=(1,), dtype=float32)"
"tf.Tensor([7.0129447], shape=(1,), dtype=float32)"
"tf.Tensor([4.5483427], shape=(1,), dtype=float32)"
"tf.Tensor([4.3580017], shape=(1,), dtype=float32)"
"tf.Tensor([3.5174613], shape=(1,), dtype=float32)"
"tf.Tensor([5.220276], shape=(1,), dtype=float32)"
"tf.Tensor([4.2441955], shape=(1,), dtype=float32)"
"tf.Tensor([3.7218647], shape=(1,), dtype=float32)"
"tf.Tensor([3.48497], shape=(1,), dtype=float32)"
"tf.Tensor([3.9907985], shape=(1,), dtype=float32)"
"tf.Tensor([4.5280814], shape=(1,), dtype=float32)"
"tf.Tensor([4.650375], shape=(1,), dtype=float32)"
"tf.Tensor([5.068189], shape=(1,), dtype=float32)"
"tf.Tensor([5.6596456], shape=(1,), dtype=float32)"
"tf.Tensor([4.8851395], shape=(1,), dtype=float32)"
"tf.Tensor([7.6235337], shape=(1,), dtype=float32)"
"tf.Tensor([5.525715], shape=(1,), dtype=float32)"
"tf.Tensor([9.8286915], shape=(1,), dtype=float32)"
"tf.Tensor([5.640734], shape=(1,), dtype=float32)"
"tf.Tensor([11.047373], shape=(1,), dtype=float32)"
"tf.Tensor([11.781389], shape=(1,), dtype=float32)"
"tf.Tensor([8.425631], shape=(1,), dtype=float32)"
"tf.Tensor([8.316969], shape=(1,), dtype=float32)"
"tf.Tensor([7.488989], shape=(1,), dtype=float32)"
"tf.Tensor([5.5214906], shape=(1,), dtype=float32)"
"tf.Tensor([7.6353855], shape=(1,), dtype=float32)"
"tf.Tensor([12.520256], shape=(1,), dtype=float32)"
"tf.Tensor([9.859751], shape=(1,), dtype=float32)"
"tf.Tensor([7.8373685], shape=(1,), dtype=float32)"
"tf.Tensor([10.761844], shape=(1,), dtype=float32)"
"tf.Tensor([7.9879174], shape=(1,), dtype=float32)"
