value,real
11.128472,7.9999976
3.542535,8.999997
3.9787724,4.9999976
4.206369,7.9999976
4.7794127,4.9999976
5.6294913,6.0000014
6.5924277,8.999997
7.0760207,8.999997
6.6800857,4.9999976
5.290693,8.999997
3.8392537,3.9999974
3.2533429,7.9999976
4.976526,3.9999974
6.7848945,3.9999974
7.9601226,7.0000014
6.5537314,3.9999974
5.5783477,7.9999976
5.1168227,7.9999976
6.156259,3.9999974
6.3927894,3.9999974
7.613733,7.0000014
8.463899,7.9999976
9.169911,3.9999974
8.931157,7.0000014
8.892365,3.9999974
8.015283,7.0000014
7.1494727,3.9999974
5.2347617,6.0000014
4.7512794,3.0000012
4.8261657,3.9999974
6.1080146,6.0000014
8.632474,3.0000012
10.175626,6.0000014
12.405553,7.0000014
13.215882,3.0000012
13.96865,3.0000012
14.450606,6.0000014
13.874661,6.0000014
13.95519,3.0000012
11.446622,6.0000014
9.905156,3.0000012
8.314683,3.0000012
8.532865,6.0000014
9.839936,2.0000012
9.411004,4.9999976
10.090199,2.0000012
10.058251,6.0000014
13.517512,4.9999976
14.93892,3.0000012
13.425778,4.9999976
8.781369,2.0000012
6.189832,2.0000012
8.327767,4.9999976
10.57581,3.9999974
10.444406,2.0000012
8.301507,2.0000012
7.6427627,4.9999976
9.471074,2.0000012
8.585927,4.9999976
8.512105,2.0000012
6.8325553,4.9999976
10.749204,2.0000012
13.706445,4.9999976
15.54263,4.9999976
14.241349,2.0000012
11.052964,6.0000014
10.952359,2.0000012
11.371774,2.0000012
16.72547,3.9999974
21.508844,2.0000012
25.937227,6.0000014
24.820173,4.9999976
22.206799,2.0000012
17.478407,4.9999976
14.744285,2.0000012
12.688333,2.0000012
13.66274,7.0000014
17.210165,3.0000012
19.640966,6.0000014
21.773241,3.0000012
20.09032,6.0000014
20.483582,3.0000012
20.052835,6.0000014
21.009811,7.0000014
20.8351,2.0000012
19.193083,6.0000014
16.560038,3.0000012
14.029691,2.0000012
14.716842,7.0000014
18.409405,7.9999976
22.267101,3.0000012
23.084576,7.9999976
22.978867,3.0000012
20.154963,6.0000014
20.97915,3.0000012
18.9664,7.0000014
21.799398,3.0000012
20.782248,7.0000014
21.0492,3.0000012
19.51613,3.0000012
19.2223,6.0000014
23.47793,3.9999974
24.92389,7.0000014
29.336159,3.0000012
26.262774,7.0000014
26.277142,3.9999974
20.470163,8.999997
19.528671,4.9999976
18.129425,8.999997
21.496017,8.999997
23.051374,3.9999974
24.482292,4.9999976
24.748611,10.000001
26.403786,4.9999976
24.85039,10.000001
24.007504,4.9999976
19.746595,8.999997
20.082935,7.0000014
16.452396,10.000001
17.053955,6.0000014
16.361143,10.000001
19.27176,11.000001
18.861547,6.0000014
18.187939,7.9999976
17.894081,11.000001
20.753445,8.999997
21.353746,12.999999
21.837378,11.000001
19.21736,14.999999
20.233492,11.000001
19.530588,13.999999
21.334076,11.000001
20.317944,14.999999
20.993738,12.999999
20.475636,17.0
20.946556,15.999999
20.057951,13.999999
18.475168,14.999999
17.232435,12.999999
16.86557,12.999999
18.44534,15.999999
20.046522,15.999999
20.49464,14.999999
19.92888,17.0
20.617163,17.0
22.024023,19.0
22.638386,19.0
21.203075,22.0
18.987791,20.0
18.86388,25.0
20.207117,21.0
22.48801,24.0
22.883043,22.0
23.041061,28.0
23.530546,22.0
25.19149,30.0
26.782993,25.0
28.380774,30.0
29.011599,24.0
29.52631,32.0
30.033398,25.0
31.671694,25.0
32.18461,34.0
31.941801,25.0
30.537111,36.0
31.156693,27.0
32.040646,40.0
33.51564,28.0
34.17043,42.0
34.92857,46.0
35.803333,29.0
35.64805,47.0
36.446075,29.0
36.15964,51.0
36.486042,29.0
35.670105,31.0
37.317276,55.0
38.414818,58.0
38.52556,32.0
36.493702,34.0
35.96736,59.0
38.376038,34.0
40.491817,61.0
42.783024,35.0
43.243423,65.0
44.126343,68.0
42.960052,35.0
42.340816,38.0
43.626133,71.0
47.549706,40.0
51.084812,76.0
52.91487,76.0
54.02476,38.0
55.446754,79.0
58.524006,40.0
59.91048,80.0
62.077137,44.0
61.352226,85.0
62.712173,46.0
62.274788,83.0
63.550976,44.0
63.31121,43.0
64.01326,78.0
64.32889,79.0
64.38993,45.0
63.55816,41.0
62.66904,75.0
62.295406,73.0
62.46623,43.0
63.09695,73.0
63.764633,42.0
64.07836,67.0
63.631966,43.0
63.38752,44.0
63.938404,71.0
65.14132,70.0
66.109634,45.0
66.673256,71.0
66.83275,44.0
67.059586,74.0
67.19876,47.0
67.35055,47.0
67.3426,72.0
67.28498,47.0
67.43069,79.0
67.43319,76.0
67.36712,46.0
66.760254,75.0
66.76252,45.0
67.61038,79.0
69.14748,48.0
70.03899,48.0
69.72728,75.0
69.212425,74.0
68.94171,50.0
69.494095,75.0
69.51898,47.0
70.03523,76.0
69.514946,48.0
69.410126,76.0
68.21383,48.0
67.741425,75.0
67.65394,49.0
68.52612,48.0
69.19986,78.0
69.64185,79.0
70.51528,50.0
71.67058,50.0
72.88788,83.0
72.404976,51.0
71.97157,81.0
70.582184,49.0
68.9134,81.0
67.57097,50.0
66.09725,81.0
65.45067,50.0
63.057575,77.0
62.202896,51.0
61.713062,80.0
62.306263,80.0
61.81624,52.0
61.46662,51.0
61.53624,78.0
62.711266,50.0
63.84111,80.0
64.36465,83.0
64.22305,51.0
63.302048,83.0
63.466602,52.0
62.873535,84.0
62.977684,52.0
62.342724,52.0
63.2607,82.0
63.806305,84.0
64.20783,53.0
62.881264,81.0
61.809303,51.0
60.741764,52.0
61.60182,81.0
62.845993,83.0
64.146965,50.0
63.63194,82.0
62.206177,52.0
61.095875,52.0
61.335373,80.0
62.099094,80.0
63.28593,51.0
64.19752,81.0
65.94294,53.0
67.55661,55.0
68.77072,83.0
68.9676,81.0
68.517075,52.0
68.99026,83.0
69.62191,52.0
70.22123,85.0
69.5064,55.0
68.46787,54.0
67.71724,82.0
67.64412,53.0
67.797646,85.0
67.59011,82.0
66.581856,54.0
66.088615,53.0
66.01745,81.0
66.46411,81.0
65.10982,54.0
62.93072,54.0
60.844048,80.0
61.367504,54.0
61.434456,83.0
62.148235,52.0
60.324627,76.0
61.11292,54.0
61.72022,81.0
63.762547,80.0
63.081745,56.0
61.800747,58.0
61.59528,83.0
62.81717,80.0
64.6969,57.0
65.05283,85.0
65.92738,58.0
66.35451,60.0
67.81258,85.0
68.67206,90.0
70.05233,61.0
70.843056,88.0
71.86494,60.0
72.79947,94.0
74.21302,60.0
75.39822,59.0
76.50688,91.0
76.55914,60.0
76.686615,92.0
76.22745,61.0
76.846825,93.0
77.20927,63.0
78.72595,95.0
79.68023,63.0
81.296555,96.0
81.845215,97.0
82.706024,62.0
83.23006,100.0
84.23876,64.0
84.65547,65.0
84.91845,100.0
84.270935,67.0
83.9126,99.0
83.10877,100.0
82.66048,67.0
82.14876,65.0
82.0998,99.0
82.66227,68.0
83.236015,96.0
83.74121,67.0
83.06627,99.0
83.245804,65.0
83.70155,98.0
85.166374,100.0
85.334435,68.0
85.22616,69.0
85.60343,101.0
86.58211,98.0
86.75671,70.0
86.085144,69.0
86.422,105.0
87.573654,102.0
88.48737,71.0
87.904144,72.0
87.426254,105.0
88.33188,69.0
89.64661,102.0
90.4812,102.0
88.88293,74.0
87.24297,72.0
87.29013,104.0
88.80649,104.0
89.6534,73.0
89.58064,74.0
89.844315,108.0
92.08444,74.0
93.365486,106.0
93.895134,105.0
93.313126,75.0
92.51183,108.0
92.28454,77.0
91.67122,81.0
91.78076,110.0
94.40881,81.0
95.69638,109.0
99.0391,79.0
99.72664,112.00001
102.131,109.0
102.36136,82.0
100.645836,111.0
98.143196,82.0
95.41515,82.0
96.23639,110.0
97.772766,112.00001
97.2354,79.0
94.85018,82.0
94.180115,110.0
95.6275,111.0
94.987236,80.0
92.852776,79.0
93.907524,109.0
96.840126,110.0
97.221725,80.0
93.79145,78.0
90.31217,108.0
90.45419,78.0
91.44352,112.00001
93.27389,114.0
91.78552,80.0
89.89547,78.0
86.719025,112.00001
87.82587,81.0
89.284996,114.0
91.68798,109.0
89.65055,79.0
87.54201,75.0
87.29251,104.0
89.41897,108.0
90.386635,78.0
88.73927,75.0
86.294136,107.0
86.41181,71.0
86.989876,104.0
87.78194,96.0
86.14078,72.0
84.49596,70.0
83.62889,98.0
83.12224,92.0
82.1578,67.0
79.70789,97.0
78.954445,70.0
80.25709,78.0
83.465,108.0
85.27431,101.0
83.67355,71.0
80.137726,66.0
76.081894,94.0
74.69463,64.0
72.90844,90.0
72.72542,59.0
71.12591,84.0
70.64613,81.0
68.761635,57.0
64.882744,75.0
62.711308,55.0
58.9799,73.0
57.94705,54.0
55.16901,51.0
54.280235,70.0
55.78994,49.0
54.625412,64.0
56.19574,46.0
52.20034,62.0
54.070942,46.0
50.85613,61.0
53.478725,47.0
52.47516,59.0
53.96085,54.0
48.8024,44.0
43.4836,41.0
36.92947,53.0
36.000595,41.0
34.141876,50.0
33.98297,51.0
31.685307,41.0
28.72606,50.0
25.562088,41.0
23.18643,40.0
23.977434,49.0
27.489265,40.0
28.671528,48.0
31.965195,39.0
31.463598,46.0
36.386826,37.0
38.84684,45.0
41.813972,43.0
41.135483,38.0
37.746742,45.0
34.95043,38.0
32.505596,39.0
31.723894,44.0
32.98517,37.0
31.841524,44.0
30.03245,40.0
25.122047,34.0
21.829842,40.0
20.228474,34.0
19.62419,33.0
19.850107,38.0
20.632988,34.0
22.551966,39.0
23.74596,40.0
24.477486,34.0
22.51935,37.0
21.337404,33.0
19.325981,31.0
19.030785,35.0
19.476093,30.0
19.786352,33.0
20.310175,29.0
19.471424,29.0
19.42842,33.0
19.134592,31.0
18.790041,34.0
17.57394,31.0
16.41015,30.0
15.899274,32.0
16.353779,29.0
15.841699,28.0
15.168775,27.0
13.653966,28.0
13.3198805,26.0
12.851579,22.0
13.075122,20.0
12.78267,22.0
12.54905,23.0
11.653985,20.0
10.890214,22.0
9.854119,22.0
9.407514,22.0
9.486852,20.0
10.211099,18.0
10.91628,21.0
11.039788,20.0
10.943135,15.999999
11.1209345,22.0
11.495202,18.0
11.901784,20.0
11.780293,17.0
11.054414,15.999999
9.918851,19.0
8.924573,13.999999
8.114575,18.0
7.775518,19.0
7.1296744,13.999999
7.1338706,17.0
6.9718375,12.999999
7.5334144,19.0
7.44478,14.999999
6.629312,17.0
5.4310126,12.999999
4.59979,14.999999
5.435804,12.999999
6.0588813,13.999999
7.0060096,11.000001
7.0402656,10.000001
7.2609344,14.999999
7.6356826,10.000001
7.868753,14.999999
8.1318445,8.999997
6.904184,12.999999
5.5368667,7.9999976
4.41633,12.999999
5.0962844,12.999999
5.672666,8.999997
5.597852,7.9999976
3.7203572,11.000001
2.6715672,7.0000014
1.6227773,10.000001
2.1789143,7.0000014
2.2086804,8.999997
3.1497052,6.0000014
3.6671536,10.000001
4.490907,7.0000014
4.524282,10.000001
4.992723,4.9999976
4.7689795,8.999997
3.5335362,6.0000014
0.69014865,10.000001
